city_id,degree_centrality,betweenness_centrality,pagerank,city_name,country
1,1.6363636363636365,0.08181818181818182,0.08333333333333333,Lyon,France
2,1.6363636363636365,0.21818181818181817,0.08333333333333333,Paris,France
3,0.5454545454545454,0.0,0.08333333333333333,Marseille,France
4,0.5454545454545454,0.0,0.08333333333333333,Rotterdam,Netherlands
5,1.6363636363636365,0.34545454545454546,0.08333333333333333,Hamburg,Germany
6,0.5454545454545454,0.0,0.08333333333333333,Milan,Italy
7,1.6363636363636365,0.045454545454545456,0.08333333333333333,Barcelona,Spain
8,0.5454545454545454,0.0,0.08333333333333333,Singapore,Singapore
9,1.6363636363636365,0.045454545454545456,0.08333333333333333,Shanghai,China
10,1.6363636363636365,0.045454545454545456,0.08333333333333333,Dubai,United Arab Emirates
11,0.5454545454545454,0.0,0.08333333333333333,New York,United States
12,0.5454545454545454,0.0,0.08333333333333333,Montreal,Canada
